,ciudad,lat,lon
0,Medellín,-75.573553,6.2443382
1,Barranquilla,-74.8013085,10.9799669
2,Bogotá,-74.0760439,4.59808
3,Cartagena,-75.5271224,10.4195841
4,Tunja,-73.361362,5.5323632
5,Manizales,-75.5173198,5.0681104
6,Florencia,-75.6081197626811,1.7554212
7,Popayán,-76.6062744,2.4420181
8,Valledupar,-73.3757933882845,10.34311145
9,Monteria,-75.887029,8.7558921
10,Quibdó,-76.6540463,5.6845709
11,Neiva,-75.2794417696023,3.0332673
12,Villavicencio,-73.6206667,4.1315113
13,Pasto,-77.2782516,1.2146286
14,Cúcuta,-72.5080387,7.8971458
15,Armenia,-75.7396016646567,4.4923898
16,Pereira,-75.6946451,4.8142912
17,Bucaramanga,-73.1172869,7.1114611
18,Sincelejo,-75.4329805907975,9.31542935
19,Ibagué,-75.2430012,4.4446595
20,Cali,-76.5324943,3.4517923
21,San Andrés,-75.2000115,5.5966647
22,Riohacha,-72.9069784,11.544634
23,Santa Marta,-73.8803519997939,11.08665565
